section	headword	months_on_list	german_missing	webpage	n_uc_s	n_lc_s	n_uc_r	n_lc_r	n_total_est	div_zero
== Substantive ==	Anfangslektüre	4		https://de.wiktionary.org/wiki/Anfangslekt%C3%BCre	0	0	0	0	0	
== Substantive ==	Anisbrötli	13		https://de.wiktionary.org/wiki/Anisbr%C3%B6tli	0	0	0	0	0	
== Substantive ==	Ankerpunkt	4		https://de.wiktionary.org/wiki/Ankerpunkt	0	0	9	0	9	
== Substantive ==	Anlandung	25		https://de.wiktionary.org/wiki/Anlandung	1	0	50	0	51	
== Substantive ==	Anlegung	36		https://de.wiktionary.org/wiki/Anlegung	0	0	105	0	105	
== Substantive ==	Ansatzpunkt	24		https://de.wiktionary.org/wiki/Ansatzpunkt	4	0	60	0	64	
== Substantive ==	Anschrieb	4		https://de.wiktionary.org/wiki/Anschrieb	0	0	0	4	0	
== Substantive ==	Anschub	36		https://de.wiktionary.org/wiki/Anschub	0	0	7	0	7	
== Substantive ==	Ansprechdauer	36		https://de.wiktionary.org/wiki/Ansprechdauer	0	0	2	0	2	
== Substantive ==	Antezedent	36		https://de.wiktionary.org/wiki/Antezedent	0	0	0	0	0	
== Substantive ==	Anti-Corona-Strategie	36		https://de.wiktionary.org/wiki/Anti-Corona-Strategie						
== Substantive ==	Antimerie	36		https://de.wiktionary.org/wiki/Antimerie	0	0	0	0	0	
== Substantive ==	Anwaltsboutique	10		https://de.wiktionary.org/wiki/Anwaltsboutique	0	0	0	0	0	
== Substantive ==	Apisstier	5		https://de.wiktionary.org/wiki/Apisstier	0	0	0	0	0	
== Substantive ==	Apostellied	4		https://de.wiktionary.org/wiki/Apostellied	0	0	0	0	0	
== Substantive ==	Aqua destillata	16		https://de.wiktionary.org/wiki/Aqua%20destillata						
== Substantive ==	Arbeitsassistenz	4		https://de.wiktionary.org/wiki/Arbeitsassistenz	1	0	12	0	13	
== Substantive ==	Arbeitsatmosphäre	14		https://de.wiktionary.org/wiki/Arbeitsatmosph%C3%A4re	0	0	7	0	7	
== Substantive ==	Arbeitsbeziehung	4		https://de.wiktionary.org/wiki/Arbeitsbeziehung	0	0	11	0	11	
== Substantive ==	Arbeitsmappe	3		https://de.wiktionary.org/wiki/Arbeitsmappe	0	0	1	0	1	
== Substantive ==	Arbeitsnorm	18		https://de.wiktionary.org/wiki/Arbeitsnorm	0	0	5	0	5	
== Substantive ==	Arbeitsschutzgesetz	4		https://de.wiktionary.org/wiki/Arbeitsschutzgesetz	0	0	10	0	10	
== Substantive ==	Arbeitsstand	26		https://de.wiktionary.org/wiki/Arbeitsstand	0	0	1	0	1	
== Substantive ==	Arbeitsversäumnis	36		https://de.wiktionary.org/wiki/Arbeitsvers%C3%A4umnis	0	0	0	0	0	
== Substantive ==	Arbeitsveteran	36		https://de.wiktionary.org/wiki/Arbeitsveteran	0	0	0	0	0	
== Substantive ==	Arbeitsvorbereiter	36		https://de.wiktionary.org/wiki/Arbeitsvorbereiter	0	0	2	0	2	
== Substantive ==	Arbeitsvorbereitung	36		https://de.wiktionary.org/wiki/Arbeitsvorbereitung	1	0	14	0	15	
== Substantive ==	Arbeitsvorgang	36		https://de.wiktionary.org/wiki/Arbeitsvorgang	0	0	9	0	9	
== Substantive ==	Arbeitswagen	36		https://de.wiktionary.org/wiki/Arbeitswagen	1	0	16	0	17	
== Substantive ==	Arbeitszeitbemessung	36		https://de.wiktionary.org/wiki/Arbeitszeitbemessung	0	0	0	0	0	
== Substantive ==	Arbeitszeithöchstgrenze	36		https://de.wiktionary.org/wiki/Arbeitszeith%C3%B6chstgrenze	0	0	0	0	0	
== Substantive ==	Arbeitszeitkonto	36		https://de.wiktionary.org/wiki/Arbeitszeitkonto	0	0	4	0	4	
== Substantive ==	Arbeitszeitmindestgrenze	36		https://de.wiktionary.org/wiki/Arbeitszeitmindestgrenze	0	0	0	0	0	
== Substantive ==	Arbeitszeitordnung	36		https://de.wiktionary.org/wiki/Arbeitszeitordnung	0	0	2	0	2	
== Substantive ==	Arbeitszeug	36		https://de.wiktionary.org/wiki/Arbeitszeug	0	0	0	0	0	
== Substantive ==	Arbeitszug	36		https://de.wiktionary.org/wiki/Arbeitszug	0	0	6	0	6	
== Substantive ==	Arbitration	36		https://de.wiktionary.org/wiki/Arbitration	0	0	17	2	17	
== Substantive ==	Arbitrator	36		https://de.wiktionary.org/wiki/Arbitrator	0	0	1	0	1	
== Substantive ==	Arbitrium	36		https://de.wiktionary.org/wiki/Arbitrium	0	0	0	1	0	
== Substantive ==	Arboreal	36		https://de.wiktionary.org/wiki/Arboreal	0	0	1	5	1	
== Substantive ==	Archaik	36		https://de.wiktionary.org/wiki/Archaik	0	0	12	0	12	
== Substantive ==	Archaiker	36		https://de.wiktionary.org/wiki/Archaiker	0	0	0	0	0	
== Substantive ==	Archaist	36		https://de.wiktionary.org/wiki/Archaist	0	0	0	0	0	
== Substantive ==	Archanthropinen	36		https://de.wiktionary.org/wiki/Archanthropinen	0	0	0	0	0	
== Substantive ==	Archäophyt	36		https://de.wiktionary.org/wiki/Arch%C3%A4ophyt	0	0	7	0	7	
== Substantive ==	Archäozoikum	36		https://de.wiktionary.org/wiki/Arch%C3%A4ozoikum	0	0	1	0	1	
== Substantive ==	Archeget	36		https://de.wiktionary.org/wiki/Archeget	0	0	0	0	0	
== Substantive ==	Archidiakon	36		https://de.wiktionary.org/wiki/Archidiakon	1	0	166	0	167	
== Substantive ==	Archipresbyter	36		https://de.wiktionary.org/wiki/Archipresbyter	0	0	3	0	3	
== Substantive ==	Area	36		https://de.wiktionary.org/wiki/Area	6	0	1210	77	1216	
